Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,PriceUF,MtTot,UFxMt2,ValueScore,Score,Link
portal inmobiliario,Santiago,06/26/2020,Aparment,usada,3,2,1,4900,150,32,3300,673,https://www.portalinmobiliario.com/MLC-534098918-amplio-departamento-santa-lucia-_JM#position=5&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,4340,114,38,2508,577,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5675878-avenida-republica-uda#position=6&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,07/07/2020,Aparment,usada,3,2,1,4900,222,22,4884,996,https://www.portalinmobiliario.com/MLC-535767248-venta-departamento-santiago-39-_JM#position=1&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,6076,130,46,2860,470,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5694744-vicuna-mackenna-sta-victoria-uda#position=3&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,6600,127,51,2794,423,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5527822-santiago-centro-catedral-amplitud-y-calidad-uda#position=20&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,04/23/2020,Aparment,usada,3,3,2,6498,102,63,2856,439,https://www.portalinmobiliario.com/MLC-524431690-departamento-en-venta-metro-principe-de-gales-_JM#position=17&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,06/15/2020,Aparment,usada,3,3,3,6390,115,55,3450,539,https://www.portalinmobiliario.com/MLC-532283592-departamento-en-venta-metro-santa-ana-_JM#position=8&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,3,2,5381,140,38,3920,728,https://www.portalinmobiliario.com/MLC-522359397-propiedad-en-sta-isabelportugal-gran-terraza-y-est-_JM#position=23&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,4900,148,33,3256,664,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5626794-carmen-602-uda#position=12&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,3,1,6200,115,53,2990,482,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5545062-santo-domingo-amunategui-uda#position=22&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,4900,148,33,3256,664,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5615645-carmen-argomedo-uda#position=11&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,6200,124,50,2728,440,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5554080-catedral-1310-uda#position=21&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,3,1,6350,113,56,2938,462,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5692448-santo-domingo-1457-departamento-209-uda#position=24&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,04/23/2020,Aparment,usada,3,3,2,4880,100,48,2800,573,https://www.portalinmobiliario.com/MLC-524430254-departamento-en-venta-plaza-de-armas-_JM#position=18&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,04/24/2020,Aparment,usada,3,3,2,4861,100,48,2800,576,https://www.portalinmobiliario.com/MLC-524505231-departamento-en-venta-plaza-de-armas-_JM#position=14&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,06/18/2020,Aparment,usada,3,3,2,6200,129,48,3612,582,https://www.portalinmobiliario.com/MLC-532823633-departamento-en-venta-el-embalse-_JM#position=7&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,4950,100,49,2200,444,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5685766-universidad-andres-bello-gorbea-uda#position=4&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,5277,135,39,2970,562,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5632184-a-3-cuadras-del-metro-santa-isabel-uda#position=10&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,08/05/2020,Aparment,usada,4,2,1,5902,131,45,3406,577,https://www.portalinmobiliario.com/MLC-525871585-departamento-en-vicuna-mackena-metro-santa-isabel-_JM#position=13&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,4,2,1,6700,110,60,2860,426,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5641861-san-diego-516-departamento-1018-uda#position=25&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,4530,100,45,2200,485,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5707359-av-espana-gorbea-uda#position=2&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,4900,150,32,3300,673,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5588595-carmen-602-uda#position=9&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,04/24/2020,Aparment,usada,3,3,2,6498,102,63,2856,439,https://www.portalinmobiliario.com/MLC-524477196-departamento-en-venta-metro-principe-de-gales-_JM#position=16&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Las Condes,05/06/2020,House,usada,3,2,1,4900,120,40,2640,538,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5607677-yolanda-9438-uda#position=5&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74
portal inmobiliario,Las Condes,06/17/2020,House,usada,3,3,1,6875,110,62,2860,416,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5668126-la-goleta-las-condes-uda#position=7&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74
portal inmobiliario,Las Condes,06/24/2020,House,usada,3,2,1,4900,120,40,2640,538,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5681590-yolanda-vital-apoquindo-uda#position=2&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74
portal inmobiliario,Las Condes,06/20/2020,House,usada,3,3,1,6875,110,62,2860,416,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5675199-la-goleta-788-uda#position=3&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74
portal inmobiliario,Las Condes,04/14/2020,House,usada,3,1,1,5555,162,34,2916,524,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5556916-metro-y-mall-los-dominicos-uda#position=6&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74
portal inmobiliario,Las Condes,08/07/2020,House,usada,3,2,1,4895,120,40,2640,539,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5708594-cristobal-colon-paul-harris-uda#position=1&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74
portal inmobiliario,Vitacura,12/04/2020,Aparment,usada,4,2,1,6300,115,54,2990,474,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5552025-lo-matta-las-hualtatas-uda#position=2&type=item&tracking_id=41ed21bc-03e9-4c9d-b2ee-362368a50779
portal inmobiliario,Vitacura,06/27/2020,House,usada,3,2,2,6944,125,55,3000,432,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5633501-la-aurora-1785-uda#position=1&type=item&tracking_id=7a179f42-d429-4d20-9e55-a969f854cdc1
portal inmobiliario,Santiago,12/05/2020,House,usada,3,2,1,6969,100,69,2200,315,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5685878-metro-santa-ana-y-cumming-uda#position=33&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,04/23/2020,House,usada,5,5,2,6622,163,40,7172,1083,https://www.portalinmobiliario.com/MLC-524432877-casa-en-venta-metro-rondizzoni-_JM#position=14&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,07/05/2020,House,usada,3,3,1,4340,200,21,5200,1198,https://www.portalinmobiliario.com/MLC-525806304-casa-en-venta-av-jose-arrieta-_JM#position=8&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,12/05/2020,House,usada,4,2,1,6041,220,27,5720,946,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5609345-av-general-gana-metro-nuble-uda#position=5&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,04/23/2020,House,usada,4,4,2,4900,175,28,6300,1285,https://www.portalinmobiliario.com/MLC-524432903-casa-en-venta-metro-zapadores-_JM#position=13&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,12/05/2020,House,usada,3,2,2,6000,350,17,8400,1400,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5683844-metropolitana-region-santiago-uda#position=1&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,07/05/2020,House,usada,3,3,3,6900,200,34,6000,869,https://www.portalinmobiliario.com/MLC-525806449-casa-en-venta-walker-martinezcolombia-_JM#position=6&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,04/23/2020,House,usada,3,3,3,6700,110,60,3300,492,https://www.portalinmobiliario.com/MLC-524430579-casa-en-venta-plaza-las-campanas-_JM#position=20&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,05/28/2020,House,usada,3,3,3,4861,160,30,4800,987,https://www.portalinmobiliario.com/MLC-529532147-casa-en-venta-cerro-negro-_JM#position=4&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,07/06/2020,House,usada,4,4,3,6000,165,36,6270,1045,https://www.portalinmobiliario.com/MLC-530842246-casa-en-venta-el-guanaco-norte-_JM#position=2&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,05/29/2020,House,usada,3,3,2,4166,160,26,4480,1075,https://www.portalinmobiliario.com/MLC-529607723-casa-en-venta-juanita-aguirre-_JM#position=3&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,04/21/2020,House,usada,3,3,1,5555,170,32,4420,795,https://www.portalinmobiliario.com/MLC-524329543-casa-en-venta-francisco-de-villagra-_JM#position=28&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,04/23/2020,House,usada,3,3,3,6000,169,35,5070,845,https://www.portalinmobiliario.com/MLC-524432146-casa-en-venta-el-guanaco-norte-_JM#position=15&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Santiago,03/30/2020,House,usada,3,3,3,6900,135,51,4050,586,https://www.portalinmobiliario.com/MLC-522932150-casa-en-venta-metro-rojas-magallanes-_JM#position=31&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060
portal inmobiliario,Huechuraba,05/27/2020,Aparment,usada,3,2,1,6000,120,50,2640,440,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5634026-camino-de-cintura-huechuraba-departamento-1467-uda#position=27&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,06/24/2020,Aparment,usada,3,3,2,6990,128,54,3584,512,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5681338-av-del-parque-comodos-espacios-vista-despejada-uda#position=10&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/27/2020,Aparment,usada,3,2,2,6400,252,25,6048,945,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5579495-camino-de-cintura-gran-patio-de-uso-exclusivo-2-estacionamientos-uda#position=29&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,11/05/2020,Aparment,usada,3,2,1,5300,130,40,2860,539,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5606462-departamento-como-nuevo-recien-pintado-uda#position=39&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,09/03/2020,Aparment,usada,3,2,1,5800,112,51,2464,424,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5185162-impecable-departamento-camino-cintura-uda#position=6&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,06/16/2020,Aparment,usada,3,2,2,6150,100,61,2400,390,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5667622-vende-pedro-fontova-corredora-mejor-sector-no-dejar-de-ver-uda#position=15&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,10/06/2020,Aparment,usada,3,2,1,5600,137,40,3014,538,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5658767-camino-de-cintura-disponibilidad-inmediata-uda#position=18&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/21/2020,Aparment,usada,3,2,1,5300,230,23,5060,954,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5615361-berta-correa-los-libertadores-uda#position=30&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/13/2020,Aparment,usada,3,2,1,4200,100,42,2200,523,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5554623-hermoso-departamento-en-pedro-fontova-uda#position=49&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/06/2020,Aparment,usada,3,2,1,4500,107,42,2354,523,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5645787-lindo-departamento-inmejorable-ubicacion-ga-uda#position=23&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/15/2020,Aparment,usada,4,3,2,5600,122,45,3904,697,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5613782-excelente-departamento-en-el-mejor-sector-pv-uda#position=34&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,07/07/2020,Aparment,usada,4,4,2,6100,175,34,6300,1032,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5706816-pedro-fontova-el-carmen-tour-virtual-2-suite-4d4b-2-estacionamientos-175-m2-uda#position=1&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,09/04/2020,Aparment,usada,3,2,2,6200,152,40,3648,588,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5549256-departamento-con-patio-pedro-fontova-huechuraba-uda#position=1&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,05/06/2020,Aparment,usada,4,3,1,6500,150,43,4500,692,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5650301-vende-exclusivo-oportunidad-modelo-de-140-mts-uda#position=20&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,08/04/2020,Aparment,usada,4,4,1,6300,169,37,5746,912,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5548086-pedro-fontova-7788-uda#position=2&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,05/18/2020,Aparment,usada,3,2,1,5100,100,51,2200,431,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5615823-del-roble-1578-uda#position=33&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/28/2020,Aparment,usada,3,2,1,4990,125,39,2750,551,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5635109-hermoso-dpto-en-cond-gran-vista-al-valle-de-huechuraba-uda#position=26&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/14/2020,Aparment,usada,3,2,1,5300,130,40,2860,539,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5555623-los-libertadores-7135-uda#position=48&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,06/30/2020,Aparment,usada,3,2,2,6250,130,48,3120,499,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5690446-camino-de-cintura-pedro-fontova-uda#position=7&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,01/07/2020,Aparment,usada,3,3,2,5900,140,42,3920,664,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5690982-remodelado-y-muy-amplio-uda#position=6&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/22/2020,Aparment,usada,3,3,2,5630,114,49,3192,566,https://www.portalinmobiliario.com/MLC-524380262-departamento-en-venta-pedro-fontova-_JM#position=44&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,12/06/2020,Aparment,usada,3,2,1,4700,106,44,2332,496,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5662455-lindo-y-comodo-departamento-santa-marta-de-huechuraba-uda#position=17&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/29/2020,Aparment,usada,3,2,1,5300,154,34,3388,639,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5584195-los-libertadores-berta-correa-uda#position=43&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,02/04/2020,Aparment,usada,3,2,2,4150,102,40,2448,589,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5540039-linda-vista-sector-alta-demanda-dn-uda#position=3&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,12/01/2020,Aparment,usada,4,3,1,6300,140,45,4200,666,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5346093-camino-de-cintura-1409-uda#position=11&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,06/26/2020,Aparment,usada,3,2,1,6600,134,49,2948,446,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5685291-impecable-camino-de-cintura-uda#position=8&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,11/05/2020,Aparment,usada,3,2,2,5500,126,43,3024,549,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5606674-depto-como-nuevo-con-hermosa-vista-al-valle-uda#position=36&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,03/25/2020,Aparment,usada,3,2,1,6150,142,43,3124,507,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5434887-pedro-fontova-8080-uda#position=5&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,11/05/2020,Aparment,usada,3,2,2,5500,126,43,3024,549,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5606660-hermosa-vista-desde-camino-de-cintura-uda#position=37&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/06/2020,Aparment,usada,3,2,2,5500,110,50,2640,480,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5645803-increible-departamento-colegio-sfjh-como-nuevo-ga-uda#position=22&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,01/25/2020,Aparment,usada,3,2,1,5790,149,38,3278,566,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5384441-rinconada-el-salto-800-departamento-10-uda#position=7&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,09/06/2020,Aparment,usada,3,2,1,4791,115,41,2530,528,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5656734-pedro-fontovasanta-isabel-uda#position=19&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/21/2020,Aparment,usada,3,3,2,6800,147,46,4116,605,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5623915-camino-de-cintura-8030-departamento-702-uda#position=13&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,06/16/2020,Aparment,usada,3,2,1,5100,100,51,2200,431,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5667741-vende-exclusivo-pedro-fontova-corredora-excelente-estado-mejor-sector-uda#position=13&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
